ProcessID,ProcessName,Domain,CapabilityID,CapabilityName,CapabilityType,Status
lead2order,Lead2Order,Commercial,real_source_connector_runner,Real Source Connector Runner,connector-runtime,planned_with_contract
lead2order,Lead2Order,Commercial,credential_safe_source_session,Credential-Safe Source Session,security-runtime,planned_with_contract
lead2order,Lead2Order,Commercial,auto_field_mapping_ai,Auto Field Mapping AI,mapping-ai,planned_with_contract
lead2order,Lead2Order,Commercial,process_mining_import,Process Mining Import,process-mining,planned_with_contract
lead2order,Lead2Order,Commercial,kpi_ontology_graph,KPI Ontology / KPI Knowledge Graph,knowledge-graph,planned_with_contract
lead2order,Lead2Order,Commercial,business_question_router,Business Question Router,intake-ai,planned_with_contract
lead2order,Lead2Order,Commercial,semantic_model_auto_repair,Semantic Model Auto-Repair,model-repair,planned_with_contract
lead2order,Lead2Order,Commercial,pbir_visual_materializer,PBIR Visual Materializer,report-runtime,planned_with_contract
lead2order,Lead2Order,Commercial,full_pbip_generator_all_processes,Full PBIP Generator For All Processes,pbip-runtime,planned_with_contract
lead2order,Lead2Order,Commercial,powerbi_desktop_log_parser,Power BI Desktop Log Parser,desktop-qa,planned_with_contract
lead2order,Lead2Order,Commercial,measure_benchmark_engine,Measure Benchmark Engine,dax-performance,planned_with_contract
lead2order,Lead2Order,Commercial,ai_report_critic_designer_scoring,AI Report Critic / Designer Scoring,design-qa,planned_with_contract
lead2order,Lead2Order,Commercial,natural_language_dax_explainer,Natural Language DAX Explainer,dax-explainability,planned_with_contract
lead2order,Lead2Order,Commercial,what_if_scenario_generator,What-if Scenario Generator,simulation,planned_with_contract
lead2order,Lead2Order,Commercial,action_recommendation_engine,Action Recommendation Engine,action-ai,planned_with_contract
lead2order,Lead2Order,Commercial,value_case_calculator,Value Case Calculator,value-management,planned_with_contract
lead2order,Lead2Order,Commercial,tenant_readiness_scanner,Tenant Readiness Scanner,tenant-governance,planned_with_contract
lead2order,Lead2Order,Commercial,deployment_pipeline_generator,Deployment Pipeline Generator,release-automation,planned_with_contract
lead2order,Lead2Order,Commercial,data_contract_generator,Data Contract Generator,data-contracts,planned_with_contract
lead2order,Lead2Order,Commercial,multi_agent_bi_sprint_orchestrator,Multi-Agent BI Sprint Orchestrator,agent-orchestration,planned_with_contract
lead2order,Lead2Order,Commercial,report_portfolio_rationalizer,Report Portfolio Rationalizer,portfolio-optimization,planned_with_contract
lead2order,Lead2Order,Commercial,process_pack_marketplace_ui,Process Pack Marketplace UI,marketplace-ui,planned_with_contract
lead2order,Lead2Order,Commercial,industry_compliance_packs,Industry Compliance Packs,compliance,planned_with_contract
lead2order,Lead2Order,Commercial,automated_documentation_publisher,Automated Documentation Publisher,documentation-automation,planned_with_contract
lead2order,Lead2Order,Commercial,fabric_lakehouse_warehouse_scaffold,Fabric Lakehouse/Warehouse Scaffold,fabric-architecture,planned_with_contract
order2cash,Order2Cash,Commercial,real_source_connector_runner,Real Source Connector Runner,connector-runtime,planned_with_contract
order2cash,Order2Cash,Commercial,credential_safe_source_session,Credential-Safe Source Session,security-runtime,planned_with_contract
order2cash,Order2Cash,Commercial,auto_field_mapping_ai,Auto Field Mapping AI,mapping-ai,planned_with_contract
order2cash,Order2Cash,Commercial,process_mining_import,Process Mining Import,process-mining,planned_with_contract
order2cash,Order2Cash,Commercial,kpi_ontology_graph,KPI Ontology / KPI Knowledge Graph,knowledge-graph,planned_with_contract
order2cash,Order2Cash,Commercial,business_question_router,Business Question Router,intake-ai,planned_with_contract
order2cash,Order2Cash,Commercial,semantic_model_auto_repair,Semantic Model Auto-Repair,model-repair,planned_with_contract
order2cash,Order2Cash,Commercial,pbir_visual_materializer,PBIR Visual Materializer,report-runtime,planned_with_contract
order2cash,Order2Cash,Commercial,full_pbip_generator_all_processes,Full PBIP Generator For All Processes,pbip-runtime,planned_with_contract
order2cash,Order2Cash,Commercial,powerbi_desktop_log_parser,Power BI Desktop Log Parser,desktop-qa,planned_with_contract
order2cash,Order2Cash,Commercial,measure_benchmark_engine,Measure Benchmark Engine,dax-performance,planned_with_contract
order2cash,Order2Cash,Commercial,ai_report_critic_designer_scoring,AI Report Critic / Designer Scoring,design-qa,planned_with_contract
order2cash,Order2Cash,Commercial,natural_language_dax_explainer,Natural Language DAX Explainer,dax-explainability,planned_with_contract
order2cash,Order2Cash,Commercial,what_if_scenario_generator,What-if Scenario Generator,simulation,planned_with_contract
order2cash,Order2Cash,Commercial,action_recommendation_engine,Action Recommendation Engine,action-ai,planned_with_contract
order2cash,Order2Cash,Commercial,value_case_calculator,Value Case Calculator,value-management,planned_with_contract
order2cash,Order2Cash,Commercial,tenant_readiness_scanner,Tenant Readiness Scanner,tenant-governance,planned_with_contract
order2cash,Order2Cash,Commercial,deployment_pipeline_generator,Deployment Pipeline Generator,release-automation,planned_with_contract
order2cash,Order2Cash,Commercial,data_contract_generator,Data Contract Generator,data-contracts,planned_with_contract
order2cash,Order2Cash,Commercial,multi_agent_bi_sprint_orchestrator,Multi-Agent BI Sprint Orchestrator,agent-orchestration,planned_with_contract
order2cash,Order2Cash,Commercial,report_portfolio_rationalizer,Report Portfolio Rationalizer,portfolio-optimization,planned_with_contract
order2cash,Order2Cash,Commercial,process_pack_marketplace_ui,Process Pack Marketplace UI,marketplace-ui,planned_with_contract
order2cash,Order2Cash,Commercial,industry_compliance_packs,Industry Compliance Packs,compliance,planned_with_contract
order2cash,Order2Cash,Commercial,automated_documentation_publisher,Automated Documentation Publisher,documentation-automation,planned_with_contract
order2cash,Order2Cash,Commercial,fabric_lakehouse_warehouse_scaffold,Fabric Lakehouse/Warehouse Scaffold,fabric-architecture,planned_with_contract
source2contract,Source2Contract,Procurement,real_source_connector_runner,Real Source Connector Runner,connector-runtime,planned_with_contract
source2contract,Source2Contract,Procurement,credential_safe_source_session,Credential-Safe Source Session,security-runtime,planned_with_contract
source2contract,Source2Contract,Procurement,auto_field_mapping_ai,Auto Field Mapping AI,mapping-ai,planned_with_contract
source2contract,Source2Contract,Procurement,process_mining_import,Process Mining Import,process-mining,planned_with_contract
source2contract,Source2Contract,Procurement,kpi_ontology_graph,KPI Ontology / KPI Knowledge Graph,knowledge-graph,planned_with_contract
source2contract,Source2Contract,Procurement,business_question_router,Business Question Router,intake-ai,planned_with_contract
source2contract,Source2Contract,Procurement,semantic_model_auto_repair,Semantic Model Auto-Repair,model-repair,planned_with_contract
source2contract,Source2Contract,Procurement,pbir_visual_materializer,PBIR Visual Materializer,report-runtime,planned_with_contract
source2contract,Source2Contract,Procurement,full_pbip_generator_all_processes,Full PBIP Generator For All Processes,pbip-runtime,planned_with_contract
source2contract,Source2Contract,Procurement,powerbi_desktop_log_parser,Power BI Desktop Log Parser,desktop-qa,planned_with_contract
source2contract,Source2Contract,Procurement,measure_benchmark_engine,Measure Benchmark Engine,dax-performance,planned_with_contract
source2contract,Source2Contract,Procurement,ai_report_critic_designer_scoring,AI Report Critic / Designer Scoring,design-qa,planned_with_contract
source2contract,Source2Contract,Procurement,natural_language_dax_explainer,Natural Language DAX Explainer,dax-explainability,planned_with_contract
source2contract,Source2Contract,Procurement,what_if_scenario_generator,What-if Scenario Generator,simulation,planned_with_contract
source2contract,Source2Contract,Procurement,action_recommendation_engine,Action Recommendation Engine,action-ai,planned_with_contract
source2contract,Source2Contract,Procurement,value_case_calculator,Value Case Calculator,value-management,planned_with_contract
source2contract,Source2Contract,Procurement,tenant_readiness_scanner,Tenant Readiness Scanner,tenant-governance,planned_with_contract
source2contract,Source2Contract,Procurement,deployment_pipeline_generator,Deployment Pipeline Generator,release-automation,planned_with_contract
source2contract,Source2Contract,Procurement,data_contract_generator,Data Contract Generator,data-contracts,planned_with_contract
